CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,Added,Deleted,Modified,Total Change,ALTER
1,0,2,0,6,0,2,28,3,0,4,0,0,0,0,NO
34,0,20,11,25,17,8,540,1,85,77,21,28,10,59,YES
8,0,5,1,7,1,4,84,2,80,12,4,10,5,19,YES
1,0,1,0,6,0,1,19,2,0,3,0,0,0,0,NO
4,0,5,1,5,3,2,70,1,40,12,1,1,1,3,YES
2,0,4,2,4,0,4,37,1,37,7,0,0,0,0,NO
2,0,1,0,1,0,1,16,1,0,2,0,0,0,0,NO
2,0,1,0,1,0,1,16,1,0,2,0,0,0,0,NO
0,0,3,1,4,1,3,59,1,25,6,0,0,0,0,NO
16,0,61,18,83,16,43,1216,2,94,206,0,0,0,0,NO
6,0,6,0,23,0,6,67,4,0,10,0,0,0,0,NO
1,2,5,1,5,0,5,33,1,0,6,1,0,5,6,YES
3,0,11,4,16,0,10,77,2,70,17,0,0,0,0,NO
3,0,5,2,10,0,4,37,2,50,7,0,0,0,0,NO
6,1,22,5,22,0,21,169,1,83,36,0,0,0,0,NO
6,0,30,16,30,0,29,170,1,93,38,0,0,0,0,NO
1,4,2,1,2,0,1,12,1,0,2,0,0,0,0,NO
3,3,7,2,17,0,6,48,3,71,11,0,0,0,0,NO
3,2,5,1,22,0,5,37,4,40,8,0,0,0,0,NO
23,0,37,16,37,0,37,258,1,93,55,11,1,1,13,YES
6,0,2,1,4,0,2,27,2,0,4,6,0,2,8,YES
0,0,3,4,3,0,3,52,2,41,8,0,0,0,0,NO
23,0,251,2,253,3,247,1155,2,99,267,19,1,5,25,YES
2,0,8,2,8,0,8,52,1,25,10,0,0,0,0,NO
3,19,2,0,2,0,2,42,1,0,4,11,27,5,43,YES
14,0,1,0,3,1,2,50,1,0,6,0,0,0,0,NO
35,0,25,3,25,19,4,696,1,89,91,80,105,45,230,YES
4,1,40,11,40,12,28,521,1,89,94,0,0,0,0,NO
1,0,3,1,43,0,3,25,2,0,4,0,0,0,0,NO
4,0,8,5,8,0,8,51,1,65,10,0,0,0,0,NO
26,0,219,8,221,3,214,1107,2,98,269,1,1,9,11,YES
31,0,206,13,208,14,192,1331,2,98,307,1,1,15,17,YES
4,0,2,0,19,0,2,16,4,0,3,6,0,0,6,YES
0,0,12,6,12,0,12,58,1,83,12,0,0,0,0,NO
6,0,3,0,25,0,3,34,5,0,6,6,0,0,6,YES
