CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ADDED,DELETED,MODIFIED,TOTAL CHANGE,ALTER
5,0,4,1,29,0,1,92,2,62,12,5,0,7,12,YES
6,2,11,8,36,0,1,324,2,81,64,0,0,1,1,YES
0,0,0,1,1,0,1,14,1,100,1,1,2,6,9,YES
0,0,6,3,6,0,6,136,1,54,23,16,20,1,37,YES
0,0,2,1,2,0,2,9,1,0,1,8,0,0,8,YES
4,0,6,1,6,0,6,197,1,0,33,29,0,2,31,YES
0,0,0,0,0,0,0,16,1,0,0,3,0,2,5,YES
9,0,46,4,46,0,46,1473,1,82,252,9,0,0,9,YES
1,0,0,0,45,0,44,402,1,91,81,25,1,5,31,YES
1,1,5,1,5,0,5,127,1,19,9,69,39,9,117,YES
3,0,0,0,64,0,64,1279,1,98,216,60,44,35,139,YES
5,0,0,0,12,1,11,488,1,91,98,100,0,0,100,YES
0,0,6,4,6,0,6,158,1,52,18,21,0,2,23,YES
4,0,0,0,12,0,10,225,1,61,41,0,0,8,8,YES
2,0,0,0,28,0,28,423,1,87,70,65,4,8,77,YES
0,0,0,0,1,0,1,53,1,0,9,4,0,3,7,YES
2,0,15,1,15,0,15,224,1,60,42,9,0,0,9,YES
1,0,1,0,16,1,14,363,1,50,59,21,0,1,22,YES
3,0,13,1,14,0,11,510,1,71,46,36,0,2,38,YES
6,0,0,0,54,0,54,593,1,96,116,94,0,4,98,YES
5,2,20,6,20,0,10,196,1,81,34,6,0,4,10,YES
5,2,5,17,5,0,2,261,2,69,15,2,0,0,2,YES
7,0,6,1,27,0,5,93,2,71,16,12,0,2,14,YES
0,0,1,0,2,0,0,8,2,0,1,5,0,0,5,YES
2,0,6,5,6,0,4,106,2,69,20,6,2,4,12,YES
0,0,0,0,8,0,8,149,1,75,24,33,8,8,49,YES
0,0,0,0,8,0,8,62,1,0,15,38,0,0,38,YES
0,2,4,5,4,0,4,52,2,70,9,20,1,0,21,YES
4,0,13,9,33,0,12,471,2,85,95,55,37,7,99,YES
0,0,5,1,6,2,4,15,1,100,1,8,0,0,8,YES
1,0,13,2,14,2,12,29,1,50,2,8,0,0,8,YES
0,0,2,0,2,0,2,10,1,0,1,8,0,0,8,YES
1,0,18,2,19,2,17,32,1,50,2,8,0,0,8,YES
8,0,5,0,63,0,3,152,5,40,30,0,0,0,0,NO
2,0,2,2,2,0,2,13,1,75,2,0,0,0,0,NO
0,0,2,16,2,0,2,61,1,43,4,0,0,0,0,NO
0,0,4,4,4,0,4,83,1,6,15,0,0,0,0,NO
2,0,11,2,11,0,11,82,2,27,20,0,0,0,0,NO
0,0,1,0,1,0,1,7,2,0,1,0,0,0,0,NO
5,0,1,0,4,3,1,178,1,0,22,0,0,0,0,NO
0,0,0,0,3,0,3,38,1,0,5,0,0,0,0,NO
0,0,5,0,6,4,2,84,1,0,16,0,0,0,0,NO
0,0,2,0,5,0,2,26,2,0,6,0,0,0,0,NO
0,5,3,0,3,0,2,10,1,0,1,0,0,0,0,NO
0,0,5,2,8,1,4,75,2,30,16,0,0,0,0,NO
0,0,2,0,5,0,2,16,2,0,4,0,0,0,0,NO
0,0,2,0,5,0,2,38,2,0,7,0,0,0,0,NO
0,0,2,0,5,0,2,28,2,0,7,0,0,0,0,NO
2,0,1,0,2,1,1,32,1,0,8,0,0,0,0,NO
0,0,1,0,4,1,3,21,1,50,5,0,0,0,0,NO
0,0,1,0,2,1,1,13,1,0,4,0,0,0,0,NO
2,0,2,0,3,0,3,26,1,0,3,0,0,0,0,NO
0,0,5,1,5,0,5,18,1,0,5,0,0,0,0,NO
0,0,7,3,9,6,1,173,2,76,44,0,0,0,0,NO
0,0,1,0,8,0,2,36,3,0,8,0,0,0,0,NO
0,0,3,4,6,0,6,107,1,77,17,0,0,0,0,NO
1,0,0,0,2,0,2,25,1,0,4,0,0,0,0,NO
1,0,0,1,2,0,2,36,1,75,4,0,0,0,0,NO
1,0,0,1,2,0,2,38,1,75,5,0,0,0,0,NO
0,0,8,3,11,0,11,201,1,72,30,0,0,0,0,NO
1,0,0,0,2,0,2,46,1,0,7,0,0,0,0,NO
13,0,32,22,58,0,32,256,2,94,50,0,0,0,0,NO
8,0,18,7,19,0,19,307,1,84,59,0,0,0,0,NO
12,0,30,13,31,0,31,337,1,92,61,0,0,0,0,NO
6,0,18,2,45,1,18,247,2,76,60,0,0,0,0,NO
0,1,3,0,6,2,2,758,2,75,122,0,0,0,0,NO
4,0,5,0,32,1,5,77,2,0,18,0,0,0,0,NO
4,0,1,0,4,0,4,65,1,68,10,0,0,0,0,NO
4,0,5,9,5,0,5,105,2,81,5,0,0,0,0,NO
8,0,11,10,11,0,10,218,2,84,34,0,0,0,0,NO
0,0,4,3,4,0,4,33,2,66,7,0,0,0,0,NO
13,0,22,47,22,2,20,852,2,92,52,0,0,0,0,NO
1,0,6,1,6,0,6,70,2,66,14,0,0,0,0,NO
0,0,4,3,4,0,4,29,2,66,6,0,0,0,0,NO
7,0,8,14,8,0,8,221,2,80,12,0,0,0,0,NO
1,0,2,1,2,0,2,12,1,0,2,0,0,0,0,NO
3,0,3,12,3,0,3,102,2,52,10,0,0,0,0,NO
0,0,3,3,3,0,3,32,2,66,3,0,0,0,0,NO
0,0,4,3,4,0,4,23,2,75,5,0,0,0,0,NO
6,0,7,13,7,0,7,235,2,84,16,0,0,0,0,NO
1,0,6,5,6,1,5,74,2,70,9,0,0,0,0,NO
0,0,2,0,3,0,1,36,2,0,4,0,0,0,0,NO
2,0,3,1,3,0,3,127,2,100,4,0,0,0,0,NO
1,0,2,1,2,0,2,14,1,0,3,0,0,0,0,NO
1,0,2,1,2,0,2,14,1,0,3,0,0,0,0,NO
1,0,2,1,2,0,2,14,1,0,3,0,0,0,0,NO
1,0,2,1,2,0,2,14,1,0,3,0,0,0,0,NO
