CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,Change
4,0,2,18,15,2,0,no
6,1,3,16,22,1,33,no
7,0,2,15,82,1,0,no
8,0,10,23,66,1,44,yes
6,0,4,17,27,0,50,yes
2,0,2,15,20,0,0,no
10,0,6,19,73,0,66,yes
35,0,10,23,346,0,80,yes
11,0,8,21,71,0,25,yes
7,0,12,25,118,1,50,no
9,0,6,19,54,0,61,yes
20,0,3,16,168,0,62,yes
5,0,7,20,96,1,0,no
1,0,1,49,8,1,0,no
32,0,8,21,78,0,85,no
12,0,6,19,69,0,72,yes
6,0,3,16,27,1,0,no
4,0,5,18,36,0,0,yes
4,0,6,19,44,0,0,yes
4,0,2,15,37,0,0,yes
32,0,6,19,112,0,66,no
1,0,1,45,8,0,0,no
9,0,10,23,69,0,50,yes
27,0,4,17,120,0,87,yes
15,0,8,21,375,0,77,yes
11,0,3,16,58,0,33,no
4,0,26,103,242,0,0,no
29,0,3,16,94,1,66,yes
6,0,2,15,20,0,0,no
9,0,1,14,29,0,0,no
11,0,5,18,35,1,0,no
9,0,1,14,28,0,0,yes
9,0,2,15,22,1,0,no
4,0,1,14,9,0,0,no
3,0,5,18,40,0,0,no
14,0,2,15,46,1,0,no
5,0,6,19,35,0,62,no
9,0,2,15,73,0,0,no
46,0,16,29,398,0,87,yes
19,0,2,15,81,0,75,yes
16,0,6,19,148,0,77,yes
1,0,0,13,6,0,0,no
21,1,5,18,76,0,80,yes
5,0,3,16,57,0,0,no
6,0,2,15,16,0,0,no
6,0,9,22,58,0,75,no
9,0,6,19,38,0,33,yes
2,0,2,15,13,0,0,no
16,0,8,21,102,0,12,yes
25,0,8,21,229,0,81,yes
7,0,2,15,23,0,0,yes
16,0,4,30,43,2,0,no
26,0,3,16,76,0,61,no
10,0,3,16,45,0,33,yes
26,0,3,16,85,0,62,no
2,0,3,16,17,0,33,no
9,0,2,15,22,1,0,no
25,0,9,22,164,0,80,yes
38,1,10,23,272,0,87,yes
3,0,3,16,38,0,33,no
8,0,1,14,15,1,0,no
14,0,11,24,88,0,0,yes
6,0,1,14,15,1,0,no
7,0,3,16,25,0,33,yes
7,0,7,20,42,0,71,no
7,0,6,19,36,0,66,no
5,0,6,19,38,0,66,no
7,0,4,17,20,0,0,no
10,0,7,20,49,0,57,yes
10,0,1,14,21,0,0,yes
