CountClassCoupled,CountClassDerived,CountDeclInstanceVariable,CountDeclInstanceMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
6,0,0,1,1,0,1,12,1,0,1,NO
17,0,5,9,9,5,4,89,1,68,19,NO
13,0,10,16,16,2,14,184,1,61,16,YES
7,0,4,3,3,0,3,28,1,33,4,NO
8,0,10,2,2,0,2,40,1,44,2,NO
3,0,1,3,3,0,3,15,1,33,3,NO
4,0,0,1,1,0,1,12,1,0,1,NO
6,0,1,4,4,0,4,33,1,50,7,NO
6,0,0,3,3,0,3,47,1,0,3,NO
4,0,1,2,2,0,2,16,1,0,5,NO
5,0,0,1,1,0,1,15,1,0,1,NO
10,0,3,2,2,0,2,34,1,0,5,NO
27,0,2,3,3,0,3,66,1,33,4,NO
13,0,2,3,3,0,3,44,1,0,3,NO
4,0,0,0,1,0,0,11,1,0,2,NO
10,0,4,3,3,1,2,48,1,33,8,NO
4,0,2,3,3,0,3,18,1,33,3,NO
3,0,3,6,6,2,3,36,1,61,10,NO
1,0,0,0,1,0,1,10,1,0,1,NO
4,0,0,1,1,0,1,25,1,0,5,NO
3,0,0,1,1,0,1,11,1,0,1,NO
12,0,0,1,2,0,2,26,1,50,2,NO
14,0,3,5,5,1,4,59,1,46,5,NO
2,0,1,4,4,1,3,43,2,25,10,NO
2,0,1,3,5,0,5,33,1,60,7,NO
2,0,0,9,9,0,9,99,1,0,9,NO
2,0,1,11,11,1,9,87,1,90,21,NO
1,0,0,0,1,0,1,7,1,0,1,NO
0,0,2,9,9,2,6,45,2,61,13,NO
1,0,1,3,25,0,3,14,3,33,3,NO
1,0,0,5,27,2,3,22,3,0,5,NO
1,0,4,6,6,1,5,52,1,50,9,NO
2,0,0,0,8,2,6,98,1,0,11,NO
0,0,0,2,2,1,1,10,2,0,2,NO
3,0,1,5,27,2,2,28,3,60,6,NO
5,0,0,0,14,0,14,89,1,0,18,NO
9,0,1,18,18,16,2,221,1,91,42,NO
1,0,0,14,29,1,3,147,2,0,36,NO
0,0,1,7,7,0,7,41,1,14,12,NO
4,0,2,7,8,2,5,68,1,62,18,NO
11,0,13,23,23,2,21,248,1,81,42,YES
2,0,0,0,2,0,2,22,1,0,4,NO
1,0,0,0,3,0,3,33,1,0,8,YES
0,0,2,3,3,0,3,42,2,0,4,NO
2,0,2,16,16,4,12,125,2,71,30,NO
1,1,2,17,17,2,15,112,2,61,26,NO
1,0,1,14,14,2,12,121,1,21,29,NO
2,0,0,0,12,0,12,94,1,0,26,YES
3,0,0,0,23,4,18,179,1,89,44,NO
0,0,0,0,3,0,3,37,1,0,11,NO
3,0,0,3,3,0,3,19,1,0,3,NO
0,0,2,2,2,0,2,20,1,25,3,NO
3,0,0,0,22,1,21,286,1,0,64,NO
0,2,1,3,4,1,2,51,2,75,13,NO
2,0,6,14,18,2,16,168,1,75,37,NO
0,0,1,3,3,0,3,27,1,0,6,NO
4,0,0,1,30,2,28,633,1,96,101,NO
1,0,2,7,7,2,5,33,1,57,7,NO
0,0,0,1,1,0,0,5,2,0,1,NO
1,0,4,4,4,0,4,47,2,31,8,NO
5,0,0,0,5,4,1,65,1,80,12,NO
1,0,1,1,1,0,1,25,2,0,2,NO
0,0,0,0,3,0,3,11,1,0,3,NO
1,0,0,0,10,0,10,50,1,0,13,NO
17,0,0,0,11,4,7,218,1,0,30,NO
2,0,0,19,19,0,19,110,1,0,19,NO
3,0,0,5,5,0,5,32,1,0,5,NO
0,0,0,0,1,0,1,5,1,0,1,NO
7,0,0,3,28,4,24,190,1,96,57,NO
6,0,0,0,6,1,5,72,1,0,18,NO
2,0,2,12,18,2,5,213,3,78,32,NO
0,0,0,0,1,0,1,5,1,0,1,NO
2,0,1,3,3,1,2,46,1,33,5,NO
0,0,2,8,8,0,8,34,1,31,9,NO
23,0,2,10,10,4,5,292,1,80,26,NO
9,0,3,7,38,1,4,74,3,45,15,NO
23,0,1,13,14,0,13,140,1,92,37,NO
9,0,6,6,22,1,3,71,2,57,14,NO
18,1,1,19,24,2,21,194,1,93,27,NO
7,0,1,5,21,0,3,39,2,33,10,NO
8,0,3,7,23,2,3,65,2,58,15,NO
7,0,1,5,21,0,3,36,2,33,9,NO
20,0,15,52,53,3,44,323,1,92,83,NO
1,0,2,12,12,0,12,69,2,58,16,NO
6,0,8,19,19,0,15,144,1,76,27,NO
4,0,2,15,15,0,14,127,2,90,38,NO
5,0,3,7,7,1,5,47,1,80,12,NO
3,3,0,3,25,0,1,14,3,0,3,NO
8,1,0,8,8,5,3,52,1,0,10,NO
1,0,2,5,5,0,5,44,1,53,9,NO
0,0,1,2,2,0,2,11,2,0,2,NO
0,0,1,1,1,0,1,6,1,0,1,NO
1,0,0,3,28,0,3,13,4,0,3,NO
15,0,3,4,26,1,2,107,3,58,11,NO
8,0,0,5,32,2,2,34,4,0,8,NO
17,0,9,5,5,2,3,413,2,68,12,NO
0,0,2,7,7,0,7,36,2,50,7,NO
4,0,1,2,24,0,2,15,3,50,3,NO
18,0,3,5,5,2,3,149,2,60,7,NO
3,0,4,5,5,0,5,26,2,60,5,NO
8,0,3,5,5,0,5,130,2,60,16,YES
2,0,0,3,3,0,3,22,1,0,5,NO
16,0,1,6,14,1,5,47,2,50,8,NO
6,0,0,4,27,1,4,38,3,60,8,NO
14,0,7,9,9,6,3,276,2,74,36,NO
12,0,6,7,8,6,2,218,2,75,14,NO
40,0,1,22,47,1,21,722,2,100,54,NO
7,0,0,4,31,1,2,28,4,0,6,NO
7,0,0,3,30,0,3,30,4,0,7,NO
7,0,0,3,30,0,3,27,4,0,6,NO
7,0,0,3,30,0,3,27,4,0,6,NO
3,0,2,3,25,1,1,23,3,50,6,NO
14,0,0,3,6,0,4,45,1,0,9,NO
2,0,2,4,4,0,4,17,1,37,4,NO
7,0,3,26,27,2,25,165,1,82,46,NO
1,0,0,3,28,0,3,13,4,0,3,NO
1,0,0,3,28,0,3,13,4,0,3,NO
4,0,2,5,7,0,7,46,1,64,12,NO
5,1,2,4,6,0,5,29,1,66,6,NO
1,0,0,2,24,0,2,12,3,0,2,NO
0,0,1,4,4,0,4,39,1,50,8,NO
2,0,0,2,24,0,2,12,3,0,2,NO
7,0,1,6,12,1,5,37,2,16,10,NO
2,0,0,2,24,0,2,12,3,0,2,NO
15,0,1,9,9,2,7,92,1,77,19,NO
16,1,1,8,13,0,12,74,1,69,18,NO
3,0,2,5,8,0,8,44,1,62,12,NO
7,0,0,3,30,0,2,15,4,0,3,NO
9,0,1,3,30,0,2,28,4,33,3,NO
8,0,1,4,31,0,3,37,4,25,6,NO
10,0,0,4,17,0,4,142,2,0,10,NO
1,0,2,3,3,0,2,23,1,33,3,NO
10,0,1,6,38,0,2,95,2,85,12,YES
15,0,1,10,10,2,7,135,1,80,27,NO
1,0,1,3,3,0,3,20,1,0,5,NO
9,0,1,6,6,2,4,59,1,50,13,NO
23,1,6,21,24,5,19,265,1,88,49,NO
3,0,4,9,12,0,12,50,1,83,13,NO
4,0,7,6,7,3,4,256,1,75,9,NO
9,0,1,3,30,0,2,22,4,33,3,NO
8,0,1,3,30,0,2,24,4,0,5,NO
7,0,0,3,30,0,2,20,4,0,4,NO
8,0,1,3,32,2,2,48,4,40,11,NO
19,0,0,6,30,0,6,320,2,0,13,NO
0,0,0,0,2,0,2,102,1,0,23,NO
2,2,6,5,7,1,6,124,1,73,29,NO
18,1,0,7,8,5,3,132,1,100,14,NO
7,0,1,4,26,0,4,37,3,50,8,NO
10,0,0,5,27,2,2,34,3,0,7,NO
8,0,0,2,11,0,3,37,2,0,6,NO
7,0,1,4,26,1,3,32,3,50,7,NO
0,0,0,1,8,0,1,5,2,0,1,NO
6,0,1,5,5,1,4,29,1,60,6,NO
0,0,0,1,8,0,1,5,2,0,1,NO
3,2,1,5,20,0,3,19,2,25,4,YES
5,0,3,5,25,0,2,35,3,40,6,NO
5,0,0,4,19,0,2,20,2,0,4,YES
5,0,3,5,25,0,2,38,3,40,6,NO
4,0,3,4,4,1,3,22,1,33,4,NO
7,0,1,2,24,0,2,18,3,0,2,NO
3,0,2,3,3,1,0,76,1,33,18,NO
6,0,1,23,24,3,21,104,1,97,24,NO
5,0,1,2,2,0,2,24,1,0,2,NO
3,0,0,4,19,0,2,18,2,0,4,NO
2,0,1,6,10,0,4,45,1,50,13,NO
5,0,2,4,4,0,3,34,1,50,8,NO
19,0,1,13,14,1,13,124,1,92,29,YES
16,1,1,7,8,0,8,84,1,87,13,YES
3,0,1,0,0,0,0,24,1,0,0,NO
10,0,0,4,13,2,3,66,2,0,7,NO
8,0,1,2,24,0,2,27,3,0,3,NO
2,0,1,1,4,0,3,23,1,50,6,NO
2,0,2,3,4,1,0,27,1,50,7,NO
5,0,2,7,7,4,3,114,1,42,17,NO
0,0,0,1,1,0,1,5,2,0,1,YES
4,0,1,2,2,0,0,20,1,0,4,NO
5,0,1,2,24,0,2,18,3,50,4,NO
6,0,1,2,24,0,2,19,3,50,4,NO
8,0,0,3,3,0,3,18,1,0,4,NO
23,0,5,13,16,2,12,122,1,82,23,NO
7,0,2,4,4,2,0,129,1,37,18,NO
11,0,0,3,3,0,3,24,1,0,5,NO
11,0,2,8,9,2,6,84,1,72,15,NO
11,0,0,5,5,1,4,69,1,0,8,NO
18,0,3,14,15,8,4,224,1,86,43,NO
5,0,1,4,4,0,4,24,1,0,6,NO
8,0,0,3,25,1,2,49,3,0,9,NO
6,0,0,3,25,1,2,33,3,0,6,NO
15,0,1,5,5,1,4,49,1,60,8,NO
8,0,1,5,5,1,4,87,1,19,15,NO
7,0,1,6,6,3,0,89,1,66,16,NO
26,2,20,15,15,6,6,524,2,88,22,NO
2,0,2,2,24,0,2,12,3,0,2,NO
1,0,1,2,24,0,1,11,3,0,2,NO
1,0,1,2,24,0,1,11,3,0,2,NO
1,0,1,3,25,1,1,21,3,0,3,NO
4,36,4,15,15,0,10,109,1,87,23,NO
10,4,6,15,30,4,4,157,2,64,41,NO
9,0,1,8,12,1,11,98,1,66,23,NO
5,0,1,7,23,0,4,44,2,37,9,NO
5,0,1,7,23,0,4,60,2,37,14,NO
2,0,2,4,4,1,3,58,1,50,10,NO
5,0,1,7,23,0,4,60,2,37,14,NO
0,0,0,3,3,0,3,20,2,0,3,NO
3,0,0,5,21,1,3,29,2,83,8,NO
6,0,0,6,22,0,5,29,2,85,8,NO
3,0,1,5,20,0,3,25,2,70,6,NO
1,0,4,6,7,2,5,117,1,60,25,NO
5,0,2,3,25,1,1,50,3,33,5,NO
0,0,0,1,1,0,1,15,1,0,4,NO
14,0,4,21,23,8,11,211,1,86,45,NO
2,0,2,7,22,0,4,49,3,42,15,NO
15,0,10,12,12,2,10,242,2,74,37,NO
56,0,22,43,46,8,27,533,1,93,84,YES
3,0,1,9,9,3,0,64,1,33,16,NO
0,0,1,10,10,0,8,44,1,40,11,NO
9,0,2,4,4,0,3,30,1,50,6,NO
15,0,3,9,31,2,5,136,3,81,18,NO
6,0,3,1,2,0,0,41,1,83,9,NO
12,0,0,0,3,1,2,31,1,100,3,NO
2,0,0,3,36,1,1,13,5,0,3,NO
4,0,0,2,35,0,1,16,5,0,3,NO
7,0,1,2,24,0,2,16,3,0,3,NO
9,0,1,2,26,1,3,41,3,50,9,NO
2,0,9,10,12,4,6,396,1,71,48,NO
1,0,7,11,11,1,10,131,1,53,29,NO
3,0,2,2,24,0,1,22,3,0,4,NO
8,0,3,3,25,0,2,44,3,33,7,NO
11,0,2,2,24,0,1,41,3,0,8,YES
3,0,2,3,25,1,1,31,3,16,4,NO
1,0,1,2,24,0,1,11,3,0,2,NO
1,0,1,2,24,0,1,11,3,0,2,NO
3,0,2,4,4,0,4,35,1,37,9,NO
1,0,1,3,25,1,1,22,3,0,3,NO
1,0,1,3,25,1,1,22,3,0,3,NO
1,0,1,2,24,0,1,11,3,0,2,NO
2,0,3,3,14,1,2,44,2,50,14,NO
2,0,0,3,25,0,3,15,2,0,4,NO
2,0,1,2,12,0,1,18,2,0,4,NO
2,0,0,3,25,0,3,17,2,0,5,NO
24,0,12,27,36,11,25,418,1,91,95,NO
1,0,2,11,20,1,19,135,2,65,32,NO
1,0,2,6,10,2,8,70,1,44,22,NO
2,0,4,17,19,3,16,122,2,73,41,NO
4,0,3,8,12,3,9,81,1,63,25,NO
0,0,1,4,26,0,4,20,2,50,4,NO
2,0,0,0,2,0,1,10,1,0,3,NO
2,2,0,5,27,0,4,21,2,0,6,NO
2,0,0,2,12,0,1,20,2,0,6,NO
2,0,0,2,12,0,1,17,2,0,4,NO
5,4,4,9,10,0,9,60,1,75,15,NO
11,5,4,18,22,0,22,177,1,83,60,NO
3,0,5,13,13,2,11,78,1,69,21,NO
16,0,2,19,22,13,8,299,1,82,61,NO
3,0,0,4,26,0,4,18,2,0,5,NO
6,0,0,5,27,3,1,50,3,0,8,NO
1,0,1,3,25,0,2,19,3,66,3,NO
10,0,0,5,27,3,1,262,3,0,16,NO
9,0,0,1,3,0,3,28,1,0,4,NO
5,0,0,6,28,4,2,75,3,0,14,NO
3,0,1,2,24,0,1,39,3,0,4,NO
1,0,0,2,26,0,1,15,4,0,3,NO
5,2,1,2,24,0,2,22,3,0,4,NO
2,0,1,4,4,0,4,20,1,0,6,NO
8,0,2,5,6,1,4,65,1,16,14,NO
5,0,2,7,10,1,9,73,1,80,16,YES
10,0,0,0,6,6,0,106,1,100,20,NO
2,0,0,0,2,0,2,9,1,0,3,NO
18,1,1,19,50,4,10,161,2,78,38,YES
1,0,0,2,52,0,1,11,3,0,3,NO
16,0,1,7,7,1,6,65,1,71,14,NO
2,0,2,3,3,0,3,14,1,33,3,NO
13,0,0,14,14,0,14,68,1,0,20,NO
10,0,1,7,25,3,4,60,2,60,14,NO
28,1,3,12,15,1,14,120,1,75,23,NO
5,0,0,4,20,0,2,20,2,0,5,NO
3,0,4,16,16,0,16,87,1,65,24,NO
1,0,0,2,27,0,4,21,3,0,7,NO
6,0,1,5,5,1,4,32,1,19,10,NO
6,0,3,9,9,0,9,67,1,48,17,NO
0,2,0,5,23,0,5,22,2,0,5,NO
10,0,1,10,37,1,9,41,4,40,10,NO
10,0,0,2,24,0,2,29,3,0,4,NO
32,0,4,17,33,6,12,392,2,83,34,YES
5,0,0,7,34,0,6,27,4,0,7,NO
5,0,1,7,34,0,6,30,4,71,8,NO
13,0,2,8,39,1,3,69,3,50,13,NO
10,0,0,13,13,0,13,82,1,0,22,NO
6,3,5,18,18,0,18,141,1,77,38,NO
3,0,4,7,25,0,7,61,2,67,14,NO
3,0,0,5,28,0,5,44,3,0,7,NO
4,0,3,8,26,1,7,66,2,54,12,NO
5,0,0,5,30,0,1,23,3,0,5,NO
7,3,4,10,25,0,3,72,2,60,18,NO
5,0,0,5,30,1,1,39,3,0,9,NO
5,0,0,5,30,1,1,39,3,0,9,NO
6,0,1,37,46,1,36,163,2,5,47,NO
4,0,15,33,33,1,32,156,1,92,40,NO
4,0,2,5,6,0,6,24,1,50,8,NO
6,0,0,4,26,1,3,26,3,0,6,NO
8,0,2,5,27,1,4,36,3,60,7,NO
5,3,1,5,20,0,3,32,2,25,8,NO
5,0,3,5,25,0,2,35,3,40,6,NO
6,0,3,5,25,0,2,35,3,40,6,NO
4,0,0,5,25,0,1,23,3,0,5,NO
1,0,0,5,14,0,5,46,2,0,13,NO
16,0,2,12,12,2,8,314,1,75,44,YES
15,0,1,12,12,0,12,145,1,91,31,NO
45,1,1,44,70,8,49,724,2,97,148,YES
16,0,2,3,3,0,2,51,1,33,10,NO
7,0,1,2,8,0,2,26,2,25,6,NO
2,0,1,6,8,1,7,55,1,25,15,NO
5,0,0,2,24,0,2,21,3,0,5,NO
10,0,0,2,24,0,2,24,3,0,5,NO
7,0,0,2,24,0,2,22,3,0,5,NO
8,0,0,2,24,0,2,15,3,0,3,NO
5,0,3,2,24,0,2,20,3,0,2,NO
4,0,2,2,24,0,2,19,3,0,2,YES
4,0,2,2,24,0,2,16,3,0,2,NO
2,0,0,3,25,0,3,14,3,0,3,NO
6,0,1,2,24,0,2,18,3,0,3,NO
3,0,0,2,29,0,1,14,4,0,3,NO
10,0,0,3,25,0,3,65,3,0,10,NO
6,0,0,3,25,0,3,19,3,0,4,NO
48,0,2,39,109,5,30,971,3,93,75,YES
4,0,1,4,26,0,4,18,3,25,4,NO
10,0,4,7,7,4,3,116,2,78,8,NO
8,0,0,3,25,0,3,22,3,0,4,NO
7,0,0,3,25,0,3,17,3,0,4,NO
13,0,0,2,24,0,2,48,3,0,9,NO
3,2,2,9,9,0,8,37,1,64,10,NO
6,0,3,13,20,2,18,162,1,78,45,NO
2,0,0,2,34,0,1,14,2,0,3,NO
6,0,0,2,24,0,2,25,3,0,4,NO
10,0,0,3,25,0,3,25,3,0,4,NO
4,0,0,2,24,0,2,16,3,0,3,NO
20,1,0,27,29,6,23,348,1,0,73,YES
19,0,7,16,18,15,0,383,1,74,85,YES
1,0,7,9,9,0,8,103,1,70,21,NO
8,0,1,64,168,0,62,256,2,53,64,NO
10,0,0,14,14,0,14,60,1,0,16,NO
0,0,0,1,1,0,1,4,2,0,1,NO
6,0,0,6,23,0,6,37,2,87,12,YES
3,0,1,5,20,0,3,28,2,70,8,NO
4,0,1,3,3,1,2,22,1,33,5,NO
