CBO,NOC,WMC,RFC,SLOC,LCOM,DIT,Change
24,0,53,121,1576,83,2,no
9,0,1,68,42,0,2,no
6,30,5,68,24,0,1,no
2,58,4,67,17,0,1,no
1,3,1,65,7,0,2,no
1,6,1,65,6,0,2,no
1,2,1,64,6,0,1,no
26,9,9,77,72,87,2,yes
9,2,2,67,43,65,3,no
15,2,9,76,99,85,2,yes
16,2,5,70,117,0,3,yes
10,0,4,71,98,0,2,no
19,0,11,88,212,0,3,no
15,0,9,86,198,0,3,no
20,0,32,109,551,0,3,no
12,0,10,77,203,0,2,no
21,0,4,72,276,0,2,yes
9,0,9,77,150,0,2,no
6,0,3,94,25,100,2,no
20,0,5,68,126,70,1,no
4,0,2,88,17,25,0,no
9,0,6,73,83,0,2,yes
15,0,2,67,25,0,3,no
18,0,11,79,240,0,2,yes
23,0,14,81,536,88,2,yes
13,0,4,72,171,0,2,no
10,0,6,73,76,0,2,yes
15,0,32,99,368,90,2,no
16,0,11,79,513,77,2,yes
18,0,11,79,400,0,2,no
19,0,7,75,132,85,2,no
27,0,12,79,237,85,2,yes
15,0,8,76,143,0,2,no
15,0,8,75,82,0,2,yes
13,0,5,18,117,60,1,no
2,0,1,14,5,0,0,no
5,0,3,16,14,33,1,no
8,0,6,19,48,33,1,no
10,0,1,68,111,0,2,yes
18,0,3,70,197,0,2,no
15,0,6,74,102,0,2,no
6,0,7,74,135,0,2,no
11,0,4,72,103,0,2,no
14,0,7,75,112,85,2,no
17,0,15,92,435,0,3,yes
32,0,39,106,3078,83,2,yes
32,2,17,84,925,5,2,yes
28,0,3,66,89,51,1,no
12,0,2,15,18,0,0,no
18,0,2,69,52,50,2,no
0,0,1,85,5,0,3,no
21,0,21,88,330,0,2,yes
8,0,5,18,86,60,0,no
4,0,2,15,15,50,1,yes
4,0,4,17,22,0,1,yes
32,0,10,77,343,0,2,yes
26,0,4,17,96,75,0,no
46,0,20,87,703,95,2,yes
5,0,1,18,10,0,2,no
4,0,1,17,7,0,2,no
0,0,1,85,5,0,3,no
31,0,6,69,253,59,1,no
7,0,2,19,27,37,0,no
23,0,7,70,161,81,1,no
24,0,6,73,141,75,2,yes
20,0,3,70,40,66,2,no
16,0,28,95,266,87,2,yes
8,0,2,72,11,0,3,no
10,0,2,70,58,0,2,no
19,0,6,71,154,0,3,yes
6,0,11,78,236,0,2,no
9,0,13,80,94,0,2,no
17,0,3,70,46,0,2,no
8,0,2,69,45,0,2,no
8,0,1,68,52,0,2,no
10,0,13,80,116,78,2,no
18,0,9,74,201,88,3,no
23,0,9,77,209,69,2,no
13,0,13,90,234,0,3,no
8,0,12,79,216,0,2,no
11,2,2,70,71,0,2,no
16,0,6,71,119,68,3,yes
19,0,19,87,575,0,2,yes
19,0,4,81,115,0,3,no
32,0,72,140,1812,93,2,yes
36,0,16,84,885,0,2,yes
9,0,1,68,22,0,2,no
19,0,20,97,439,0,3,yes
17,0,12,79,214,75,2,yes
21,0,4,69,60,0,3,yes
11,0,3,71,100,16,2,no
10,0,1,68,52,0,2,no
9,0,13,80,146,0,2,no
9,0,4,71,51,75,2,no
8,0,7,74,65,0,2,no
16,0,4,71,86,0,2,no
14,0,31,98,348,95,2,no
20,0,41,109,1142,0,2,yes
14,0,9,77,403,0,2,no
12,0,6,73,172,0,2,no
9,0,2,69,46,0,2,no
1,0,2,72,10,0,4,no
18,0,19,96,408,0,3,no
29,0,58,126,1055,59,2,yes
11,0,1,68,30,0,2,no
24,0,8,75,250,89,2,no
18,0,13,80,315,92,2,no
19,0,45,112,436,31,2,no
1,0,2,15,14,0,0,no
3,0,5,18,46,40,0,no
1,0,4,17,34,16,0,no
19,0,5,70,103,73,3,no
8,0,1,71,9,0,3,no
17,0,3,70,85,22,2,no
3,0,1,14,7,0,0,no
9,0,3,70,110,0,2,no
29,0,9,74,284,72,3,yes
8,0,4,71,74,0,2,no
29,0,11,78,850,78,2,yes
26,0,23,90,456,0,4,no
14,0,17,84,459,0,4,no
11,0,8,84,132,0,3,yes
2,0,4,80,19,0,3,no
7,0,6,73,108,0,2,yes
21,0,15,83,166,82,2,no
10,0,10,77,63,70,2,yes
19,0,24,92,214,86,2,yes
12,0,5,73,102,0,2,no
17,0,3,71,69,58,2,yes
10,0,4,71,246,50,2,no
15,0,4,71,102,0,2,no
26,0,15,83,636,0,2,yes
24,0,13,81,478,92,2,yes
25,0,56,124,1826,92,2,yes
13,0,14,84,307,0,4,yes
3,0,2,59,13,50,0,no
1,0,1,58,7,50,0,no
6,0,7,80,75,100,0,no
9,0,10,23,107,77,0,no
5,0,9,22,43,87,0,no
1,0,1,50,5,0,0,no
1,0,2,51,11,50,0,no
41,0,6,41,103,66,1,no
13,0,2,15,12,0,0,no
5,0,2,15,12,0,0,yes
51,3,22,35,253,88,0,yes
1,0,3,60,16,55,0,no
13,0,4,39,18,0,1,no
10,2,14,27,58,0,0,no
42,0,7,34,319,75,1,yes
24,0,5,18,89,40,0,yes
25,0,5,18,62,46,0,no
41,3,15,28,342,66,0,yes
45,0,6,41,110,70,1,yes
8,0,3,30,56,50,1,yes
4,5,4,57,20,0,4,no
12,2,14,27,67,82,0,no
4,9,4,34,21,75,2,yes
14,2,6,49,57,66,4,yes
10,2,6,49,44,50,4,yes
9,0,4,31,37,50,1,no
9,0,9,43,47,61,3,yes
3,0,2,51,9,0,5,no
3,0,2,51,9,0,5,no
7,0,10,44,55,55,3,yes
5,0,3,46,22,0,4,yes
8,0,4,47,31,37,4,yes
18,7,9,43,89,72,3,yes
16,0,11,45,92,78,3,yes
7,1,9,43,55,50,3,yes
13,0,6,40,93,58,3,yes
16,0,9,43,158,62,3,yes
3,0,2,48,9,0,4,yes
3,1,2,48,9,0,4,yes
3,1,3,45,13,0,4,no
7,2,8,42,43,37,3,no
7,5,12,46,65,58,3,yes
12,0,3,46,56,33,4,yes
13,0,4,47,47,50,4,yes
11,0,3,46,38,33,4,yes
17,0,6,33,83,75,1,no
