CBO,NOC,WMC,RFC,SLOC,LCOM,DIT,Change
2,0,4,17,30,12,0,yes
51,5,45,96,494,91,2,yes
10,0,6,19,32,66,0,yes
7,0,6,26,30,72,1,no
3,0,4,17,16,50,0,no
13,0,48,61,594,0,0,yes
13,0,4,37,26,0,3,yes
5,0,2,24,13,0,2,yes
19,1,19,32,132,90,0,yes
17,0,17,113,124,76,3,yes
5,0,5,23,32,60,2,yes
2,5,3,17,15,33,1,no
16,1,10,23,120,50,0,no
4,0,2,15,14,0,1,no
29,3,25,76,105,0,2,no
5,0,2,24,13,0,2,yes
4,0,4,22,18,50,2,yes
5,0,2,25,13,0,3,yes
8,0,2,40,9,0,5,no
4,0,8,21,57,37,0,yes
3,3,3,16,10,33,0,yes
4,0,5,28,22,60,3,no
12,0,2,35,31,0,3,yes
12,0,2,35,24,0,3,yes
12,0,2,35,32,0,3,yes
35,2,33,51,163,0,1,no
35,1,56,74,226,0,1,no
1,5,1,23,5,0,2,no
34,1,50,68,202,0,1,no
2,1,4,21,16,0,2,yes
6,1,5,23,25,60,3,no
4,0,4,22,20,81,2,yes
17,0,15,28,143,87,1,yes
26,0,17,30,393,64,0,yes
13,0,13,26,99,85,0,yes
15,0,8,75,175,31,2,no
13,0,2,15,34,50,0,yes
9,0,2,15,27,33,0,yes
22,0,3,16,58,50,0,yes
9,0,6,75,53,55,2,yes
13,0,2,15,41,25,0,yes
10,0,3,72,30,44,2,yes
3,0,1,14,16,0,0,no
4,0,3,16,22,0,0,no
15,0,7,20,201,80,0,yes
16,0,12,25,68,0,0,no
21,27,6,69,80,80,1,yes
9,2,6,19,36,66,0,yes
49,8,50,63,1190,96,0,yes
4,0,2,60,13,25,2,no
2,0,2,15,19,0,0,no
55,0,40,60,338,92,1,yes
25,0,9,22,154,85,0,yes
103,1,71,91,1747,94,1,yes
19,3,38,58,165,0,1,yes
6,3,7,20,29,0,0,no
8,0,3,16,15,66,0,no
7,0,3,16,17,0,0,no
2,0,1,14,5,0,0,no
4,0,1,14,6,0,0,yes
15,0,42,55,489,85,0,no
8,0,5,18,120,66,1,yes
4,0,3,16,58,33,1,yes
4,0,3,16,58,33,1,yes
38,0,12,81,297,85,2,yes
12,0,3,72,167,0,2,yes
2,0,1,20,5,0,1,no
13,0,62,75,299,98,0,yes
5,0,3,22,53,66,1,no
4,0,3,60,15,50,0,no
4,0,3,60,15,50,0,no
5,0,2,59,10,50,0,yes
4,0,4,61,24,65,0,no
4,0,2,60,13,50,1,no
4,0,5,63,27,72,1,no
18,1,12,25,85,50,0,yes
4,0,3,60,18,58,0,no
1,1,4,53,14,100,0,yes
5,2,10,30,41,0,1,yes
4,2,7,20,29,0,0,no
21,1,41,54,166,0,0,yes
4,0,2,59,11,75,0,no
6,0,3,60,13,50,0,no
6,0,3,60,13,50,0,no
1,1,4,57,14,100,1,yes
10,0,13,44,134,0,1,no
5,0,4,23,19,0,1,no
19,0,4,29,34,41,1,yes
113,0,41,54,1965,92,0,yes
1,4,1,58,6,100,0,no
3,0,1,14,13,0,1,no
2,0,3,67,14,66,1,no
3,4,4,17,18,0,0,no
8,0,6,19,52,66,0,no
12,0,21,34,191,86,0,yes
16,0,61,74,993,0,0,yes
2,0,1,18,6,0,1,yes
2,0,1,18,6,0,1,yes
2,1,1,18,6,0,1,yes
18,0,12,25,331,0,0,no
10,0,15,28,120,76,0,yes
1,0,3,16,16,33,0,no
12,0,5,18,78,0,0,no
2,0,3,76,15,33,1,no
1,0,1,14,6,0,0,no
6,0,6,19,28,0,0,no
5,0,9,22,62,11,0,no
2,0,1,14,7,100,0,no
2,0,1,18,6,0,1,yes
59,1,60,73,816,95,0,yes
20,0,7,20,100,55,0,yes
3,0,6,19,39,16,0,no
4,0,4,61,20,50,0,no
6,0,15,46,186,100,1,no
5,0,3,22,16,0,1,yes
25,0,9,78,97,0,2,no
13,0,11,24,112,43,0,no
20,0,4,73,44,0,2,no
13,0,7,20,79,97,0,yes
2,0,2,15,16,0,0,no
4,0,6,19,44,0,0,no
32,0,34,47,385,93,0,yes
6,0,5,18,51,62,0,yes
4,0,3,60,18,58,0,no
0,0,1,14,17,0,0,no
5,0,8,21,54,56,0,no
4,0,4,62,21,68,1,no
3,0,8,21,80,0,0,yes
5,0,4,61,17,87,0,no
10,0,7,20,97,53,0,yes
11,0,6,19,56,61,0,no
20,0,14,27,140,76,0,yes
8,0,5,18,79,53,0,yes
15,0,6,19,76,100,0,yes
18,0,10,23,139,60,0,yes
5,1,7,64,32,80,0,no
4,0,7,65,32,74,1,no
10,1,14,27,86,72,0,yes
2,6,1,14,6,0,0,no
1,1,8,21,34,0,0,no
5,0,10,24,45,40,1,no
5,0,11,25,68,27,1,no
7,0,14,28,73,61,1,no
5,0,6,63,22,91,0,no
5,0,15,28,120,60,0,yes
6,0,6,19,150,0,0,no
4,0,1,58,7,50,0,no
11,2,18,31,284,78,0,no
10,0,15,28,110,55,0,no
9,2,6,19,36,61,0,no
28,3,8,75,78,0,2,no
20,1,55,68,227,0,0,no
5,0,8,21,42,50,0,no
2,0,6,19,28,16,0,no
20,0,11,24,151,80,0,no
12,0,2,77,52,0,3,no
2,0,1,14,4,0,1,no
19,0,5,80,91,80,3,no
24,0,12,87,273,75,3,yes
4,0,2,70,12,0,1,no
2,5,2,15,8,0,0,no
13,0,5,18,72,73,0,no
4,0,3,16,16,66,0,no
3,0,5,18,35,0,0,no
24,0,7,20,264,71,0,no
6,0,6,19,81,61,0,no
9,0,3,16,39,44,0,no
4,0,4,22,24,25,1,no
1,0,1,14,5,0,0,no
3,0,4,17,17,91,0,no
1,2,1,14,22,0,0,no
5,0,2,16,9,0,1,no
2,0,2,16,9,0,1,no
5,0,16,29,62,93,0,no
20,0,11,24,131,95,0,no
4,0,3,16,16,33,0,yes
10,0,4,17,71,100,0,no
3,0,2,15,8,0,0,no
5,0,3,16,15,0,0,no
7,0,3,16,21,33,0,no
3,0,3,16,67,66,0,no
3,0,1,14,19,0,0,no
3,0,1,14,29,0,0,no
5,0,12,25,80,68,0,no
21,0,33,46,396,100,0,no
3,0,3,16,37,0,0,yes
6,0,4,17,77,75,0,no
7,0,4,52,43,66,0,no
6,0,9,22,56,51,0,no
8,0,3,16,21,0,0,no
1,0,1,14,12,0,0,no
21,0,6,19,110,66,0,yes
5,0,2,15,14,0,0,no
3,0,2,15,10,0,0,yes
17,0,8,77,78,50,2,yes
6,0,2,15,35,0,0,yes
6,0,6,75,41,41,2,yes
36,0,11,24,275,80,0,no
6,0,4,17,30,50,0,no
13,0,13,26,106,92,0,yes
8,0,10,23,69,70,0,yes
12,0,5,18,28,80,0,no
8,0,9,22,100,71,0,no
12,0,1,14,35,0,0,no
50,0,24,37,391,85,0,yes
5,0,3,16,118,0,0,yes
5,0,3,16,25,66,0,no
14,0,8,21,75,0,0,yes
6,0,3,16,33,0,0,yes
6,0,8,21,122,0,0,no
2,0,2,15,34,0,0,no
2,0,1,14,11,0,0,no
3,0,4,17,25,0,0,no
3,0,3,16,22,33,0,no
29,0,44,57,264,98,0,yes
11,0,4,17,52,0,0,yes
9,0,2,15,22,0,1,no
4,0,2,15,17,100,0,no
7,0,3,16,35,0,0,no
5,0,2,15,13,0,0,no
5,0,1,14,21,0,0,no
9,0,5,74,31,0,2,no
62,0,28,41,541,98,0,yes
8,0,13,26,142,84,0,yes
17,0,3,72,84,0,2,yes
2,0,2,15,11,0,0,no
7,0,3,16,20,0,0,no
22,0,12,25,144,95,0,yes
9,0,7,20,59,71,0,yes
19,0,19,32,162,84,0,yes
5,0,15,28,100,100,0,no
31,0,37,50,412,97,0,yes
13,0,4,17,261,55,0,yes
41,0,60,73,462,99,0,yes
7,0,3,16,26,0,0,no
3,0,8,21,37,16,0,no
19,0,12,25,106,91,0,no
0,0,5,18,36,85,0,no
5,0,3,16,65,0,0,no
7,0,4,61,43,66,0,no
11,0,18,31,205,94,0,yes
3,0,5,18,24,0,0,no
59,0,44,57,360,99,0,yes
3,0,4,38,23,0,0,no
14,0,7,20,85,0,0,no
24,0,9,22,311,77,0,yes
8,0,7,20,96,66,0,no
13,0,15,28,387,26,0,no
23,0,7,20,174,69,0,no
11,0,2,15,30,0,0,yes
1,0,1,14,10,0,0,no
6,0,3,26,17,66,2,no
18,1,18,31,488,59,0,no
6,0,1,32,12,0,1,no
7,0,2,18,11,0,1,no
13,0,4,17,62,50,0,no
12,0,2,15,68,50,0,no
35,0,13,26,284,81,1,yes
