CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
4,0,5,3,5,1,4,37,1,46,11,NO
0,0,0,0,0,0,0,3,1,0,0,YES
4,0,2,0,10,0,0,9,2,0,2,NO
8,0,3,0,9,0,1,12,2,0,3,NO
32,0,9,0,58,3,26,272,3,0,77,NO
33,0,10,3,30,2,4,223,3,84,60,YES
16,0,6,1,16,4,2,100,2,62,31,NO
4,0,1,0,16,0,0,5,3,0,1,NO
5,0,8,0,27,0,8,65,3,0,17,NO
7,0,8,0,16,2,6,47,2,0,14,NO
7,0,6,0,15,1,6,109,2,0,30,NO
10,0,7,2,15,1,6,67,2,71,14,YES
6,0,6,0,15,1,6,71,2,0,19,NO
9,0,7,0,15,0,6,140,2,0,18,YES
1,1,0,2,17,3,14,165,1,98,51,NO
1,1,8,3,8,0,8,42,1,33,13,NO
1,1,11,4,11,0,11,58,1,63,18,NO
6,0,33,4,84,1,32,161,2,85,51,NO
0,0,12,1,84,0,11,44,3,66,15,NO
1,0,5,0,77,0,4,16,3,0,5,NO
1,0,6,0,78,0,5,19,3,0,6,NO
1,0,16,4,66,0,15,71,2,75,21,NO
7,0,42,6,118,0,41,201,3,94,50,NO
1,0,4,1,5,1,4,56,2,60,15,NO
13,0,64,4,141,1,62,550,3,90,164,NO
2,0,6,1,82,0,5,24,3,50,7,NO
6,3,26,2,76,1,23,339,2,48,76,NO
9,5,49,3,50,0,48,207,1,85,74,NO
7,4,22,1,72,0,19,103,2,86,31,NO
2,0,5,0,5,0,4,20,1,0,5,NO
1,0,9,0,9,0,8,29,1,0,9,NO
0,0,3,1,3,0,3,12,1,0,4,NO
10,0,12,0,12,0,12,38,1,0,12,NO
4,0,28,8,29,2,26,170,1,85,39,NO
13,0,52,15,53,3,44,437,2,90,121,NO
2,0,9,2,11,1,10,69,1,45,18,NO
7,0,15,2,66,0,15,115,2,81,34,NO
0,0,5,0,77,0,5,16,3,0,5,NO
4,0,17,2,17,1,16,79,1,52,22,NO
13,0,0,0,15,1,14,159,1,0,42,NO
1,0,1,0,21,2,18,360,1,0,72,NO
2,0,19,6,22,4,18,124,1,88,34,NO
5,0,0,1,3,0,3,27,1,100,6,NO
0,0,6,1,6,0,6,32,1,50,7,NO
0,0,6,0,6,0,6,19,1,0,6,NO
4,0,0,0,3,1,2,21,1,0,4,NO
0,0,3,0,3,0,3,13,2,0,6,NO
2,0,1,0,21,3,17,254,1,95,82,NO
0,0,5,0,5,0,5,17,2,0,10,NO
0,0,1,0,1,0,1,5,2,0,1,NO
0,0,2,0,2,0,2,7,2,0,2,NO
0,0,3,0,3,0,3,8,2,0,3,NO
4,0,8,8,12,5,6,234,2,70,45,NO
7,0,6,8,13,3,9,213,2,76,41,NO
0,0,1,0,8,1,7,109,1,0,34,NO
0,0,1,0,2,1,1,10,2,0,3,NO
0,0,7,5,7,0,7,68,2,51,19,NO
0,1,4,1,4,0,4,18,1,0,6,NO
1,0,2,0,12,0,12,120,2,0,43,NO
1,0,2,0,5,1,4,42,2,0,9,NO
1,0,0,0,3,1,2,14,1,0,3,YES
4,0,0,0,13,0,11,140,1,0,50,NO
6,0,11,4,11,4,7,218,1,79,46,NO
0,0,10,3,10,0,10,56,2,60,13,NO
2,0,14,14,21,9,9,453,1,85,97,NO
0,0,2,2,2,0,2,46,1,0,10,NO
16,0,0,0,42,9,33,967,1,96,296,YES
1,0,11,1,11,0,11,41,2,36,11,NO
0,0,0,0,2,0,2,10,1,0,4,NO
4,0,0,0,20,2,18,230,1,0,72,NO
0,0,0,0,10,0,10,42,1,0,10,NO
2,0,4,2,4,0,4,73,1,0,26,NO
1,0,0,0,1,0,1,11,1,0,3,NO
3,0,1,0,9,1,8,79,1,0,21,NO
2,0,1,0,11,1,0,491,1,78,125,NO
1,0,1,1,5,1,4,24,1,100,5,NO
0,0,1,0,9,1,8,93,1,0,28,YES
1,0,0,0,1,0,1,12,1,0,3,NO
0,0,8,1,8,0,8,31,1,12,11,NO
4,0,0,0,17,0,17,260,1,0,92,NO
0,1,10,0,21,0,10,31,3,0,10,NO
0,0,10,0,31,0,10,31,4,0,10,NO
